Date,Predicted_Psum_Inv0,actual,Predicted_Psum_Inv1,actual,Predicted_Psum_Total,actual
30-06-25,11989.49,,2628.16,,14617.65,
01-07-25,8830.21,,2368.68,,11198.89,
02-07-25,10088.98,,2404.12,,12493.1,
03-07-25,8167.09,,2349.69,,10516.78,
04-07-25,10856.46,,2319.44,,13175.9,
05-07-25,8410.95,,1773.91,,10184.86,
06-07-25,10294.2,,1820.33,,12114.53,
07-07-25,9754.11,,3070.44,,12824.55,
08-07-25,9202.77,,2267.33,,11470.1,
09-07-25,10752.91,,2426.79,,13179.7,
10-07-25,10514.59,,2433.75,,12948.34,
11-07-25,9240.48,,2220.77,,11461.25,
12-07-25,8027.69,,1756.57,,9784.26,
13-07-25,10259.63,,1806.25,,12065.88,
14-07-25,9124.3,,3097.46,,12221.76,
15-07-25,10545.32,,2187.75,,12733.07,
16-07-25,10709.04,,2573.95,,13282.99,
17-07-25,9829.63,,2255.91,,12085.54,
18-07-25,7957.17,,1988.45,,9945.62,
19-07-25,10370.9,,1317,,11687.9,
20-07-25,9527,,1397.41,,10924.41,
21-07-25,10142.44,,2733.95,,12876.39,
22-07-25,10651.27,,2175.2,,12826.47,
23-07-25,11273.13,,2086.36,,13359.49,
24-07-25,10089.13,,2321.84,,12410.97,
25-07-25,9014.03,,1911.99,,10926.02,
26-07-25,9744.82,,1477.81,,11222.63,
27-07-25,9672.72,,1395.43,,11068.15,
28-07-25,9178.84,,2690.99,,11869.83,
29-07-25,9561.1,,2064.99,,11626.09,
